course_id,course_short_title,course_long_title,learner_id,certification_id,certified,country,learner_qualification,learners_year_of_birth,age,gender,grade,start_time_DI,last_event_DI,number_of_days_active,number_of_chapters,number_of_forum_post,incomplete_flag
HarvardX/CB22x/2013_Spring,HeroesX,The Ancient Greek Hero,MHxPC130245942,124863,0,Europe,Bachelor's,1990,23,m,0,18-04-2013,30-08-2013,2,2,0,0
HarvardX/CB22x/2013_Spring,HeroesX,The Ancient Greek Hero,MHxPC130430161,393854,0,South Asia,Secondary,1990,23,m,0,18-04-2013,07-09-2013,7,1,0,0
HarvardX/CB22x/2013_Spring,HeroesX,The Ancient Greek Hero,MHxPC130500034,462214,0,India,Bachelor's,1990,23,m,0.36,17-05-2013,24-07-2013,4,1,0,0
HarvardX/CB22x/2013_Spring,HeroesX,The Ancient Greek Hero,MHxPC130476766,816690,0,South Asia,Bachelor's,1990,23,f,0.18,22-04-2013,22-04-2013,1,13,0,0
HarvardX/CB22x/2013_Spring,HeroesX,The Ancient Greek Hero,MHxPC130131642,386112,0,East Asia,Bachelor's,1990,23,f,0,19-04-2013,19-04-2013,1,3,0,0
HarvardX/CB22x/2013_Spring,HeroesX,The Ancient Greek Hero,MHxPC130065736,191327,0,United States,Secondary,1990,23,m,0,19-04-2013,15-05-2013,4,4,0,0
HarvardX/CB22x/2013_Spring,HeroesX,The Ancient Greek Hero,MHxPC130112226,684954,0,United States,Secondary,1990,23,f,0,21-04-2013,22-04-2013,3,2,0,0
HarvardX/CB22x/2013_Spring,HeroesX,The Ancient Greek Hero,MHxPC130494874,899453,0,Europe,Bachelor's,1990,23,f,0.06,21-04-2013,16-06-2013,3,4,0,0
HarvardX/CB22x/2013_Spring,HeroesX,The Ancient Greek Hero,MHxPC130035304,275192,0,United States,Secondary,1990,23,m,0,21-04-2013,21-04-2013,1,12,0,0
HarvardX/CB22x/2013_Spring,HeroesX,The Ancient Greek Hero,MHxPC130583606,688994,0,United States,Bachelor's,1990,23,m,0,21-04-2013,22-04-2013,1,2,0,0
HarvardX/CB22x/2013_Spring,HeroesX,The Ancient Greek Hero,MHxPC130529425,391396,0,Europe,Bachelor's,1990,23,f,0,22-04-2013,28-04-2013,2,2,0,0
HarvardX/CB22x/2013_Spring,HeroesX,The Ancient Greek Hero,MHxPC130409448,564893,0,Nigeria,Bachelor's,1990,23,m,0,23-04-2013,23-04-2013,1,7,0,0
HarvardX/CB22x/2013_Spring,HeroesX,The Ancient Greek Hero,MHxPC130492029,303614,0,Poland,Bachelor's,1990,23,m,0,23-04-2013,23-04-2013,1,7,0,0
HarvardX/CB22x/2013_Spring,HeroesX,The Ancient Greek Hero,MHxPC130391008,235224,0,Philippines,Bachelor's,1990,23,f,0,23-04-2013,24-04-2013,1,12,0,0
HarvardX/CB22x/2013_Spring,HeroesX,The Ancient Greek Hero,MHxPC130055956,916395,0,United States,Bachelor's,1990,23,m,0,24-04-2013,13-05-2013,3,3,0,0
HarvardX/CB22x/2013_Spring,HeroesX,The Ancient Greek Hero,MHxPC130429813,197883,0,United States,Bachelor's,1990,23,f,0,24-04-2013,27-04-2013,3,4,0,0
HarvardX/CB22x/2013_Spring,HeroesX,The Ancient Greek Hero,MHxPC130430326,193128,0,India,Bachelor's,1990,23,f,0,25-04-2013,30-04-2013,3,2,0,0
HarvardX/CB22x/2013_Spring,HeroesX,The Ancient Greek Hero,MHxPC130126282,629660,0,Brazil,Secondary,1990,23,f,0,25-04-2013,25-04-2013,1,9,0,0
HarvardX/CB22x/2013_Spring,HeroesX,The Ancient Greek Hero,MHxPC130567207,880035,0,United States,Bachelor's,1990,23,f,0.03,25-04-2013,16-07-2013,11,4,0,0
HarvardX/CB22x/2013_Spring,HeroesX,The Ancient Greek Hero,MHxPC130508468,641060,0,East Asia,Bachelor's,1990,23,m,0,26-04-2013,26-04-2013,1,1,0,0
HarvardX/CB22x/2013_Spring,HeroesX,The Ancient Greek Hero,MHxPC130091366,645945,0,United States,Secondary,1990,23,m,0,27-04-2013,27-04-2013,1,2,0,0
HarvardX/CB22x/2013_Spring,HeroesX,The Ancient Greek Hero,MHxPC130458874,818914,0,Indonesia,Bachelor's,1990,23,m,0,27-04-2013,27-04-2013,1,11,0,0
HarvardX/CB22x/2013_Spring,HeroesX,The Ancient Greek Hero,MHxPC130354186,619784,0,United States,Bachelor's,1990,23,m,0,28-04-2013,28-04-2013,1,2,0,0
HarvardX/CB22x/2013_Spring,HeroesX,The Ancient Greek Hero,MHxPC130171036,743127,0,India,Master's,1990,23,m,0,28-04-2013,17-11-2013,17,13,0,0
HarvardX/CB22x/2013_Spring,HeroesX,The Ancient Greek Hero,MHxPC130082499,216448,0,India,Bachelor's,1990,23,m,0,10-05-2013,05-09-2013,8,2,0,0
HarvardX/CB22x/2013_Spring,HeroesX,The Ancient Greek Hero,MHxPC130408798,630052,0,Pakistan,Bachelor's,1990,23,m,0,28-04-2013,28-04-2013,1,8,0,0
HarvardX/CB22x/2013_Spring,HeroesX,The Ancient Greek Hero,MHxPC130526416,181747,0,Europe,Secondary,1990,23,m,0,29-04-2013,29-04-2013,1,2,0,0
HarvardX/CB22x/2013_Spring,HeroesX,The Ancient Greek Hero,MHxPC130181784,758775,0,United Kingdom,Bachelor's,1990,23,m,0.55,28-05-2013,12-06-2013,5,2,0,0
HarvardX/CB22x/2013_Spring,HeroesX,The Ancient Greek Hero,MHxPC130503881,258172,0,Spain,Bachelor's,1990,23,m,0,29-04-2013,29-04-2013,1,13,0,0
HarvardX/CB22x/2013_Spring,HeroesX,The Ancient Greek Hero,MHxPC130417465,904371,0,India,Master's,1990,23,f,0,15-07-2013,29-08-2013,7,3,0,0
HarvardX/CB22x/2013_Spring,HeroesX,The Ancient Greek Hero,MHxPC130345761,938506,0,Nigeria,Bachelor's,1990,23,m,0,30-04-2013,03-06-2013,3,11,0,0
HarvardX/CB22x/2013_Spring,HeroesX,The Ancient Greek Hero,MHxPC130201279,839465,0,Europe,Bachelor's,1990,23,f,0,30-04-2013,02-05-2013,2,11,0,0
